no_users_w_oh,precent_users_w_oh,month,total_users,no_teams_w_oh,percent_teams_w_oh,total_teams
234,26%,Nov 2022,912,,,
249,21%,Dec 2022,1195,,,
286,22%,Jan 2023,1328,,,
291,19%,Feb 2023,1571,,,
298,18%,Mar 2023,1623,,,
296,18%,Apr 2023,1655,,,
323,19%,May 2023,1671,,,
374,22%,Jun 2023,1705,,,
291,17%,Jul 2023,1727,,,
296,17%,Aug 2023,1748,,,
296,17%,Sep 2023,1752,,,
293,17%,Oct 2023,1768,,,
291,16%,Nov 2023,1791,,,
291,16%,Dec 2023,1790,,,
291,16%,Jan 2024,1789,,,
290,16%,Feb 2024,1791,,,
290,16%,Mar 2024,1798,,,
279,15%,Apr 2024,1856,,,
282,15%,May 2024,1911,,,
280,13%,Jun 2024,2126,8,1%,556
290,13%,Jul 2024,2170,22,4%,581
291,13%,Aug 2024,2195,37,6%,646
310,14%,Sep 2024,2195,50,8%,647
323,14%,Oct 2024,2311,58,8%,747
